,price,room_hall,floor_area,age,floor,neighborhood
0,"
              2.300.000
              TL",1 + 1,"
                          75 m2",Sıfır Bina,"
                      14. Kat","
                  Kadıköy,
                 
                  Sahrayı Cedit Mahallesi
                "
1,"
              4.690.000
              TL",3 + 1,"
                          165 m2",17 Yaşında,"
                      5. Kat","
                  Kadıköy,
                 
                  Feneryolu Mahallesi
                "
2,"
              6.500.000
              TL",3 + 1,"
                          145 m2",5 Yaşında,"
                      7. Kat","
                  Kadıköy,
                 
                  Göztepe Mahallesi
                "
3,"
              6.300.000
              TL",3 + 1,"
                          165 m2",15 Yaşında,"
                      10. Kat","
                  Kadıköy,
                 
                  Göztepe Mahallesi
                "
4,"
              5.500.000
              TL",3 + 1,"
                          145 m2",12 Yaşında,"
                      1. Kat","
                  Kadıköy,
                 
                  Göztepe Mahallesi
                "
5,"
              4.230.000
              TL",3 + 1,"
                          138 m2",4 Yaşında,"
                      10. Kat","
                  Kadıköy,
                 
                  Kozyatağı Mahallesi
                "
6,"
              1.600.000
              TL",3 + 1,"
                          130 m2",30 Yaşında,"
                      2. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
7,"
              3.950.000
              TL",3 + 1,"
                          120 m2",4 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
8,"
              2.200.000
              TL",3 + 1,"
                          150 m2",24 Yaşında,"
                      Yüksek Giriş","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
9,"
              15.400.000
              TL",3 + 1,"
                          230 m2",6 Yaşında,"
                      8. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
10,"
              3.675.000
              TL",3 + 1,"
                          125 m2",25 Yaşında,"
                      2. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
11,"
              3.275.000
              TL",3 + 1,"
                          160 m2",29 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
12,"
              8.250.000
              TL",4 + 3,"
                          230 m2",70 Yaşında,"
","
                      Kadıköy,
                     
                      Caferağa Mahallesi
                    "
13,"
              2.485.000
              TL",2 + 1,"
                          105 m2",30 Yaşında,"
                      Yüksek Giriş","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
14,"
              2.700.000
              TL",2 + 1,"
                          100 m2",3 Yaşında,"
                      7. Kat","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
15,"
              5.950.000
              TL",3 + 1,"
                          150 m2",4 Yaşında,"
                      5. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
16,"
              3.500.000
              TL",2 + 1,"
                          104 m2",Sıfır Bina,"
                      Giriş Katı","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
17,"
              4.200.000
              TL",3 + 1,"
                          155 m2",2 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
18,"
              6.750.000
              TL",2 + 1,"
                          110 m2",Sıfır Bina,"
                      4. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
19,"
              3.850.000
              TL",3 + 1,"
                          150 m2",Sıfır Bina,"
                      Ara Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
20,"
              5.300.000
              TL",3 + 1,"
                          130 m2",4 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
21,"
              5.500.000
              TL",3 + 1,"
                          160 m2",3 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
22,"
              13.600.000
              TL",3 + 1,"
                          170 m2",2 Yaşında,"
                      9. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
23,"
              3.100.000
              TL",3 + 1,"
                          135 m2",Sıfır Bina,"
                      7. Kat","
                      Kadıköy,
                     
                      Merdivenköy Mahallesi
                    "
24,"
              4.450.000
              TL",4 + 1,"
                          220 m2",23 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Sahrayı Cedit Mahallesi
                    "
25,"
              9.500.000
              TL",3 + 1,"
                          160 m2",Sıfır Bina,"
                      14. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
26,"
              4.995.000
              TL",4 + 1,"
                          220 m2",30 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Feneryolu Mahallesi
                    "
27,"
              3.950.000
              TL",3 + 1,"
                          135 m2",4 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
28,"
              6.750.000
              TL",4 + 1,"
                          250 m2",16 Yaşında,"
                      7. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
29,"
              3.000.000
              TL",3 + 1,"
                          110 m2",Sıfır Bina,"
                      8. Kat","
                      Kadıköy,
                     
                      Merdivenköy Mahallesi
                    "
30,"
              3.495.000
              TL",3 + 1,"
                          160 m2",28 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
31,"
              13.500.000
              TL",4 + 2,"
                          250 m2",Sıfır Bina,"
                      11. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
32,"
              4.450.000
              TL",4 + 1,"
                          240 m2",27 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
33,"
              4.550.000
              TL",3 + 1,"
                          130 m2",10 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
34,"
              6.500.000
              TL",4 + 1,"
                          280 m2",21 Yaşında,"
                      7. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
35,"
              7.250.000
              TL",3 + 1,"
                          120 m2",Sıfır Bina,"
                      Giriş Katı","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
36,"
              2.580.000
              TL",3 + 1,"
                          110 m2",4 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Sahrayı Cedit Mahallesi
                    "
37,"
              9.200.000
              TL",4 + 2,"
                          310 m2",2 Yaşında,"
                      14. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
38,"
              17.750.000
              TL",6 + 2,"
                          390 m2",Sıfır Bina,"
                      11. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
39,"
              28.800.000
              TL",5 + 2,"
                          300 m2",Sıfır Bina,"
                      9. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
40,"
              4.000.000
              TL",2 + 1,"
                          140 m2",3 Yaşında,"
                      Çatı Katı","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
41,"
              5.195.000
              TL",3 + 1,"
                          145 m2",4 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
42,"
              3.500.000
              TL",3 + 1,"
                          160 m2",30 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
43,"
              2.950.000
              TL",3 + 1,"
                          165 m2",24 Yaşında,"
                      2. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
44,"
              11.000.000
              TL",3 + 1,"
                          157 m2",Sıfır Bina,"
                      7. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
45,"
              13.700.000
              TL",4 + 2,"
                          320 m2",4 Yaşında,"
                      9. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
46,"
              11.000.000
              TL",4 + 1,"
                          200 m2",4 Yaşında,"
                      2. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
47,"
              5.200.000
              TL",3 + 1,"
                          135 m2",3 Yaşında,"
                      16. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
48,"
              14.000.000
              TL",7 + 2,"
                          450 m2",3 Yaşında,"
                      10. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
49,"
              10.450.000
              TL",6 + 2,"
                          290 m2",Sıfır Bina,"
                      12. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
50,"
              4.895.000
              TL",4 + 2,"
                          210 m2",4 Yaşında,"
                      10. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
51,"
              4.750.000
              TL",3 + 1,"
                          130 m2",3 Yaşında,"
                      6. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
52,"
              3.750.000
              TL",3 + 1,"
                          135 m2",3 Yaşında,"
                      Ara Kat","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
53,"
              3.750.000
              TL",3 + 1,"
                          130 m2",4 Yaşında,"
                      9. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
54,"
              3.650.000
              TL",3 + 2,"
                          200 m2",1 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      19 Mayıs Mahallesi
                    "
55,"
              2.350.000
              TL",3 + 1,"
                          165 m2",29 Yaşında,"
                      18. Kat","
                      Kadıköy,
                     
                      Sahrayı Cedit Mahallesi
                    "
56,"
              4.350.000
              TL",3 + 1,"
                          145 m2",3 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
57,"
              2.430.000
              TL",3 + 1,"
                          140 m2",30 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Zühtüpaşa Mahallesi
                    "
58,"
              3.550.000
              TL",4 + 1,"
                          200 m2",2 Yaşında,"
                      En Üst Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
59,"
              8.400.000
              TL",3 + 1,"
                          150 m2",5 Yaşında,"
                      7. Kat","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
60,"
              3.200.000
              TL",3 + 1,"
                          150 m2",30 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Feneryolu Mahallesi
                    "
61,"
              3.140.000
              TL",3 + 1,"
                          135 m2",2 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Merdivenköy Mahallesi
                    "
62,"
              7.450.000
              TL",3 + 1,"
                          155 m2",4 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
63,"
              15.000.000
              TL",3 + 1,"
                          155 m2",3 Yaşında,"
                      8. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
64,"
              2.900.000
              TL",3 + 1,"
                          182 m2",30 Yaşında,"
                      8. Kat","
                      Kadıköy,
                     
                      Merdivenköy Mahallesi
                    "
65,"
              3.050.000
              TL",3 + 1,"
                          150 m2",31 Yaşında,"
                      5. Kat","
                      Kadıköy,
                     
                      Feneryolu Mahallesi
                    "
66,"
              2.950.000
              TL",3 + 1,"
                          165 m2",23 Yaşında,"
                      2. Kat","
                      Kadıköy,
                     
                      Erenköy Mahallesi
                    "
67,"
              3.595.000
              TL",3 + 1,"
                          170 m2",30 Yaşında,"
                      2. Kat","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
68,"
              9.500.000
              TL",3 + 1,"
                          165 m2",Sıfır Bina,"
                      14. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
69,"
              6.600.000
              TL",4 + 2,"
                          300 m2",Sıfır Bina,"
                      10. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
70,"
              4.000.000
              TL",2 + 1,"
                          145 m2",4 Yaşında,"
                      11. Kat","
                      Kadıköy,
                     
                      Göztepe Mahallesi
                    "
71,"
              5.750.000
              TL",3 + 1,"
                          125 m2",1 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
72,"
              6.600.000
              TL",4 + 1,"
                          180 m2",31 Yaşında,"
                      4. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
73,"
              4.100.000
              TL",3 + 1,"
                          120 m2",Sıfır Bina,"
                      8. Kat","
                      Kadıköy,
                     
                      19 Mayıs Mahallesi
                    "
74,"
              4.595.000
              TL",3 + 1,"
                          130 m2",2 Yaşında,"
                      11. Kat","
                      Kadıköy,
                     
                      19 Mayıs Mahallesi
                    "
75,"
              2.650.000
              TL",2 + 1,"
                          85 m2",2 Yaşında,"
                      6. Kat","
                      Kadıköy,
                     
                      Feneryolu Mahallesi
                    "
76,"
              3.695.000
              TL",3 + 1,"
                          145 m2",3 Yaşında,"
                      6. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
77,"
              6.350.000
              TL",3 + 1,"
                          150 m2",7 Yaşında,"
                      Ara Kat","
                      Kadıköy,
                     
                      Caddebostan Mahallesi
                    "
78,"
              2.650.000
              TL",2 + 1,"
                          110 m2",7 Yaşında,"
                      8. Kat","
                      Kadıköy,
                     
                      Bostancı Mahallesi
                    "
79,"
              3.985.000
              TL",3 + 1,"
                          145 m2",30 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
80,"
              4.275.000
              TL",3 + 1,"
                          140 m2",25 Yaşında,"
                      5. Kat","
                      Kadıköy,
                     
                      Suadiye Mahallesi
                    "
81,"
              3.050.000
              TL",3 + 1,"
                          150 m2",33 Yaşında,"
                      5. Kat","
                      Kadıköy,
                     
                      Feneryolu Mahallesi
                    "
82,"
              4.450.000
              TL",4 + 1,"
                          266 m2",26 Yaşında,"
                      1. Kat","
                      Kadıköy,
                     
                      Dumlupınar Mahallesi
                    "
83,"
              12.000.000
              TL",4 + 1,"
                          250 m2",5 Yaşında,"
                      3. Kat","
                      Kadıköy,
                     
                      Fenerbahçe Mahallesi
                    "
