,urls
0,/istanbul-kadikoy-sahrayi-cedit-satilik/daire/128374-4
1,/istanbul-kadikoy-feneryolu-satilik/daire/1100-11177
2,/istanbul-kadikoy-goztepe-satilik/daire/1077-65825
3,/istanbul-kadikoy-goztepe-satilik/daire/1077-65705
4,/istanbul-kadikoy-goztepe-satilik/daire/1630-2041
5,/istanbul-kadikoy-kozyatagi-satilik/daire/7553-13943
6,/istanbul-kadikoy-bostanci-satilik/daire/128786-13
7,/istanbul-kadikoy-bostanci-satilik/daire/76029-3287
8,/istanbul-kadikoy-suadiye-satilik/daire/1516-3168
9,/istanbul-kadikoy-fenerbahce-satilik/daire/1516-3166
10,/istanbul-kadikoy-suadiye-satilik/daire/35033-4167
11,/istanbul-kadikoy-erenkoy-satilik/daire/23761-77894
12,/istanbul-kadikoy-caferaga-satilik/bina/7737-627
13,/istanbul-kadikoy-caddebostan-satilik/daire/1505-7233
14,/istanbul-kadikoy-goztepe-satilik/daire/1505-7249
15,/istanbul-kadikoy-bostanci-satilik/daire/1505-7134
16,/istanbul-kadikoy-goztepe-satilik/daire/72542-2957
17,/istanbul-kadikoy-suadiye-satilik/daire/70637-1119
18,/istanbul-kadikoy-caddebostan-satilik/daire/70637-1113
19,/istanbul-kadikoy-erenkoy-satilik/daire/7652-189431
20,/istanbul-kadikoy-caddebostan-satilik/daire/1049-167658
21,/istanbul-kadikoy-erenkoy-satilik/daire/7553-13811
22,/istanbul-kadikoy-fenerbahce-satilik/daire/23761-77612
23,/istanbul-kadikoy-merdivenkoy-satilik/daire/14946-11567
24,/istanbul-kadikoy-sahrayi-cedit-satilik/daire/62823-4751
25,/istanbul-kadikoy-bostanci-satilik/daire/1049-167606
26,/istanbul-kadikoy-feneryolu-satilik/daire/5526-10205
27,/istanbul-kadikoy-bostanci-satilik/daire/7553-13810
28,/istanbul-kadikoy-suadiye-satilik/daire/23761-77586
29,/istanbul-kadikoy-merdivenkoy-satilik/daire/14946-11511
30,/istanbul-kadikoy-erenkoy-satilik/daire/1670-1479
31,/istanbul-kadikoy-erenkoy-satilik/daire/1049-167603
32,/istanbul-kadikoy-bostanci-satilik/daire/62823-4787
33,/istanbul-kadikoy-goztepe-satilik/daire/7553-13800
34,/istanbul-kadikoy-caddebostan-satilik/daire/23761-77573
35,/istanbul-kadikoy-suadiye-satilik/daire/14946-11437
36,/istanbul-kadikoy-sahrayi-cedit-satilik/daire/1670-1352
37,/istanbul-kadikoy-caddebostan-satilik/daire/5526-10069
38,/istanbul-kadikoy-caddebostan-satilik/daire/3010-76543
39,/istanbul-kadikoy-fenerbahce-satilik/daire/1049-167548
40,/istanbul-kadikoy-goztepe-satilik/daire/7652-189538
41,/istanbul-kadikoy-caddebostan-satilik/daire/62823-4786
42,/istanbul-kadikoy-erenkoy-satilik/daire/7553-13799
43,/istanbul-kadikoy-erenkoy-satilik/daire/23761-77556
44,/istanbul-kadikoy-suadiye-satilik/daire/14946-11444
45,/istanbul-kadikoy-caddebostan-satilik/daire/1670-1487
46,/istanbul-kadikoy-suadiye-satilik/daire/1049-167546
47,/istanbul-kadikoy-suadiye-satilik/daire/7652-189496
48,/istanbul-kadikoy-caddebostan-satilik/daire/5526-10188
49,/istanbul-kadikoy-fenerbahce-satilik/daire/62823-4743
50,/istanbul-kadikoy-suadiye-satilik/daire/7553-13798
51,/istanbul-kadikoy-suadiye-satilik/daire/23761-77550
52,/istanbul-kadikoy-goztepe-satilik/daire/7652-189425
53,/istanbul-kadikoy-erenkoy-satilik/daire/1049-167587
54,/istanbul-kadikoy-19-mayis-satilik/daire/7553-13794
55,/istanbul-kadikoy-sahrayi-cedit-satilik/daire/62823-4736
56,/istanbul-kadikoy-suadiye-satilik/daire/23761-77530
57,/istanbul-kadikoy-zuhtupasa-satilik/daire/14946-11423
58,/istanbul-kadikoy-erenkoy-satilik/daire/7652-189342
59,/istanbul-kadikoy-goztepe-satilik/daire/5526-9844
60,/istanbul-kadikoy-feneryolu-satilik/daire/1049-167585
61,/istanbul-kadikoy-merdivenkoy-satilik/daire/7553-13786
